AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR
6,14,9439,6,7,38,18,16,5726,2,1,333
2,6,2313,0,0,0,4,0,1759,0,0,28
3,2,5584,0,0,10,3,0,1571,0,0,343
2,0,5777,1,0,40,3,2,5245,0,0,26
5,0,1756,0,0,5,3,0,1601,0,0,17
4,0,1625,0,0,3,14,3,2275,0,0,7
1,0,177,0,0,1,3,0,309,0,0,3
5,27,5538,0,5,59,6,54,4307,0,0,32
9,1,5698,2,12,38,9,2,5315,0,0,68
15,60,15166,3,19,81,38,67,8748,8,0,211
1,0,1308,1,0,10,8,1,1613,0,0,13
0,3,3362,0,0,27,7,0,3096,0,0,27
5,0,578,0,0,0,3,0,506,0,0,6
3,0,319,0,0,0,3,0,646,0,0,2
1,0,1574,5,0,3,11,0,1306,0,0,13
59,155,64547,3,67,513,146,285,44009,16,0,1052
9,0,1980,6,0,27,9,6,2945,0,0,16
1389,1300,454849,285,661,2926,2885,1819,144194,334,4,22021
0,0,390,0,0,8,1,0,544,0,0,0
47,180,54152,6,96,346,96,41,21833,20,1,1761
1,0,1482,1,0,6,3,0,1954,0,0,10
3,0,1794,0,0,5,3,1,1821,0,0,22
5,3,2764,1,11,7,3,6,2804,0,0,53
0,0,2305,0,0,20,0,0,1679,0,0,13
7,0,1138,2,0,7,8,0,1461,0,0,6
2,7,5203,1,3,14,34,43,4385,0,0,29
4,0,4274,1,76,4,4,0,1708,0,0,65
6,0,1454,3,0,10,12,1,2250,0,0,16
2,1,610,0,1,9,5,1,879,0,0,1
2,10,10494,0,0,41,29,6,8813,0,0,102
40,249,41072,0,124,148,69,199,18966,23,0,1080
1,0,195,0,0,0,2,0,396,0,0,0
2,0,1467,0,4,46,1,17,1561,0,0,3
2,0,2327,0,0,14,1,2,3351,0,0,5
4,54,10601,1,9,88,13,72,6382,8,0,115
218,660,600253,2,3215,516,646,1489,132626,47,0,9556
4,0,1745,2,0,6,14,1,1860,0,0,35
1,0,1087,0,2,4,4,0,918,2,0,11
3,7,6472,2,0,26,13,9,5585,0,0,36
0,0,30,0,0,1,0,0,71,0,0,0
1,0,380,0,0,0,11,0,642,0,0,2
3,0,730,0,0,4,1,0,804,0,0,5
1,0,1245,1,0,0,3,0,1292,0,0,15
30,29,14432,1,2,97,28,26,9055,4,0,410
4,0,171,0,0,0,3,0,349,0,0,1
7,0,310,0,0,0,2,0,517,0,0,0
8,1,7460,3,0,37,26,24,8022,0,0,81
1,0,561,1,0,2,5,0,629,0,0,2
5,45,19182,1,44,73,19,33,11778,0,0,169
0,0,995,0,0,25,7,0,1360,0,0,2
6,22,8799,2,0,27,25,17,8118,0,0,142
1,0,1832,1,12,3,1,1,1026,0,0,16
4,0,2841,1,0,19,8,15,4454,0,0,50
10,0,6022,0,2,6,3,4,4346,1,0,100
4,0,413,3,0,5,6,0,675,0,0,4
9,0,642,0,0,1,10,0,939,0,0,4
2,2,797,1,0,2,2,0,741,3,0,5
3,13,1663,0,0,4,2,1,903,0,0,25
4,14,3352,0,7,5,4,1,1811,0,0,34
11,0,1343,5,0,23,11,0,1973,0,0,3
12,8,10792,2,2,27,23,32,7270,4,0,124
7,0,1002,1,0,0,7,1,1161,0,0,5
2,0,744,0,0,1,7,0,890,0,0,4
1,0,568,0,1,20,13,0,922,0,0,3
1,0,504,0,0,1,7,0,608,0,0,1
3,2,1439,0,0,1,2,3,1935,0,0,24
25,4846,297801,0,894,575,23,2,4419,1,0,32239
55,7358,488823,2,1361,441,52,3,3564,2,0,50205
10,1205,147212,0,595,66,53,0,1134,2,0,13537
266,13649,615935,0,3185,714,13,12,4971,3,0,74769
50,5733,243400,2,1189,107,33,3,3030,6,0,29555
3679,17124,729510,8,4779,358,75,8,7523,34,0,115192
95,2629,129268,1,426,29,24,1,424,31,0,17827
29,1110,48603,6,366,4,20,0,270,1,0,9123
75,8184,420997,6,1963,390,45,2,5146,12,0,58243
81,2583,127681,0,1171,49,7,0,731,31,0,32673
11,6834,398311,16,1598,350,303,1,2273,5,0,46844
186,4308,175921,47,1224,44,1393,6,1044,48,0,43549
188,2284,501551,107,248,455,16,3,6486,75,0,75532
5007,4437,487072,431,3301,679,6429,4,9851,787,0,61727
49,2775,482785,1,530,446,26,4,9872,3,0,38456
21,5995,274947,2,860,335,7,4,2390,2,0,37161
10,16,6185,0,7,10,8,16,5369,1,0,218
0,0,246,0,5,0,8,2,378,0,0,4
0,0,293,0,0,0,4,0,659,0,0,0
7,28,6559,2,21,26,11,98,5046,0,0,154
368,7043,212732,2,1031,309,1133,1637,87158,276,0,25987
5,0,1008,0,0,0,3,0,1426,0,0,121
192,3780,190250,5,944,193,424,935,65296,62,0,10914
6,22,7220,0,37,9,7,49,6082,0,0,163
2,1,1569,0,3,1,10,2,2069,0,0,26
10,0,784,0,0,0,8,0,1161,0,0,8
1,1,554,0,0,2,3,0,1176,0,0,3
61,902,39662,0,247,32,176,139,14390,52,0,3253
10,56,4958,0,2,9,17,13,3815,1,0,66
5,0,820,1,5,1,34,1,1498,0,0,36
2,0,2525,0,29,2,4,8,2309,0,0,54
2,33,2925,0,16,1,14,16,2626,0,0,68
4,1,3017,0,1,6,13,0,3358,0,0,25
1,2,2269,0,6,1,1,4,2844,0,0,33
0,0,90,0,0,0,0,0,310,0,0,1
5,6,2364,0,3,4,3,8,2463,0,0,39
0,1,1355,0,12,2,3,2,1561,0,0,25
8,72,8488,0,8,13,15,5,5585,0,0,235
2,54,8234,0,41,16,17,120,6167,4,0,586
5,19,1904,0,3,3,5,8,2370,0,0,43
0,0,329,0,0,0,4,0,636,0,0,3
0,3,1227,0,38,2,0,43,1946,0,0,499
3,0,375,0,0,0,1,0,563,0,0,19
1,7,2855,0,3,11,6,0,3444,0,0,49
